RecipeName,Ingredients
Oat Latte,Starbucks Dark Roast Coffee
Oat Latte,Maple syrup
Oat Latte,Milk
Oat Latte,Oat Milk
Red Velvet cake,1 tablespoon red food color
Red Velvet cake,2-1/2 cup plaon cack flour
Red Velvet cake,1 tablespoon vanila essence
Red Velvet cake,1-1/2 cup caster sugar
Red Velvet cake,Orange peel 1 tablespoon
Red Velvet cake,1 teaspoon Butter for grees 8 egg
Red Velvet cake,For icing 1/2 cup icing sugar
Red Velvet cake,1 cup cream cheese
Tomato Soup,red tomatoes 1 kgs
Tomato Soup,salt 1 tsp
Tomato Soup,black paper powder 1 tsp
Tomato Soup,sugar 1/2 tsp
Tomato Soup,bread croutons for serving 1 tbsp
Noodle Soup,300g Chinese noodles
Noodle Soup,1/2 pepper
Noodle Soup,1-2 spring onion leaves
Noodle Soup,2 carrots
Noodle Soup,2 big mushrooms
Noodle Soup,1tbs Oyster sauce (optional)
Noodle Soup,1tbs Soy sauce (optional)
Noodle Soup,1tbs vinagar
Noodle Soup,1tsp salt
Noodle Soup,2tsp chicken seasoning (or some other alternative)
Noodle Soup,1 bowl of water
Noodle Soup,2-3 slices of garlic
Noodle Soup,1tbs oil
Chicken Fried Rice,rice 2 cups
Chicken Fried Rice,water 4 cups
Chicken Fried Rice,boneless chicken cut into cubes 500 gms
Chicken Fried Rice,Salt and pepper 2 tsp
Chicken Fried Rice,oil. preferably sesame oil 1 tbsp
Chicken Fried Rice,finely chopped brown onion 1/2 cups
Chicken Fried Rice,garlic cloves finely chopped 3 nos
Chicken Fried Rice,chopped vegetables (green beans carrots and green bell peppers or capsicum) 
Chicken Fried Rice,eggs 2 nos
Chicken Fried Rice,soy sauce 1 tsp
Chicken Fried Rice,green chili sauce 1 tsp
Chicken Fried Rice,tomato sauce or ketchup 1 tbsp
Banana Pancakes,2 large ripe bananas
Banana Pancakes,2 eggs
Banana Pancakes,1 teaspoon vanilla extract
Banana Pancakes,1 teaspoon cinnamon
Dal Makhni,black urad dal 
Dal Makhni,whole -1 cup
Dal Makhni,Rajma - 1/4 cup
Dal Makhni,onion -1
Dal Makhni,tomato-1
Dal Makhni,ginger -1/2 inches piece
Dal Makhni,garlic cloves-2
Dal Makhni,turmeric powder-1/2 tsp
Dal Makhni,coriander powder-1/2 tsp
Dal Makhni,cumin powder-1/2 tsp
Dal Makhni,chili powder-1/2 tsp
Dal Makhni,whole spices-1 tsp
Dal Makhni,fresh cream - 4 tbsp
One-pot Cheeseburger Pasta,1​​ lb ground beef(45
One-pot Cheeseburger Pasta,1 cup onion(150 g) diced
One-pot Cheeseburger Pasta,1 tablespoon garlic minced
One-pot Cheeseburger Pasta,1 teaspoon salt
One-pot Cheeseburger Pasta,0.5 teaspoon pepper
One-pot Cheeseburger Pasta,2 tablespoons worcestershire sauce
One-pot Cheeseburger Pasta,2 tablespoons ketchup
One-pot Cheeseburger Pasta,4 cups beef broth(945 mL)
One-pot Cheeseburger Pasta,16 oz fusilli pasta(455 g)
One-pot Cheeseburger Pasta,3 cups shredded cheddar cheese(300 g)
One-pot Cheeseburger Pasta,0.5 cup milk(120 mL)
One-pot Cheeseburger Pasta,green onion sliced to serve
Lasagna Flatbread,1 (425 grams) container ricotta cheese
Lasagna Flatbread,1 (226 grams) package shredded mozzarella cheese. divided
Lasagna Flatbread,1 (85 grams) package Parmesan cheese
Lasagna Flatbread,1 egg
Lasagna Flatbread,2 teaspoons Italian seasoning
Lasagna Flatbread,1 pound sausage
Lasagna Flatbread,0.5 (737 grams) jar marinara sauce
Lasagna Flatbread,6 flatbreads
Butter chicken,Chicken 1 kgs
Butter chicken,Curd 3 tbsp
Butter chicken,GingerGarlicPaste 1 tbsp
Butter chicken,Sliced Onions 3 nos
Butter chicken,Tomatoes.roughly chopped 2 nos
Butter chicken,Cashews 10-12 nos
Butter chicken,Lemon Juice 1 nos
Butter chicken,Salt 1 tsp
Butter chicken,Red Chilly Powder 2 tsp
Butter chicken,Butter 100 gms
Butter chicken,Kasoori methi (dry fenugreek leaves) 1 tsp
Butter chicken,Green Chilly 2 nos
Butter chicken,Bay Leaf 1 nos
Butter chicken,Big Cardamom 2 nos
Butter chicken,Cloves 4
Butter chicken,Garam Masala Powder 1 tsp
Butter chicken,Cream 1/2 cups
